year,series,module,code,variant,identical_across_variants,indicator,era,era_start,era_end,domain,setting,unit,measure,month,aggregation_rule,total,total_dedup,n_reporting_establishments,n_establishments_value_gt0,n_rows,n_rows_value,n_rows_zero,n_rows_empty,n_rows_exact_duplicate,months_covered,n_stable_panel_establishments,stable_panel_total,comparability_warning,note,source_file,script
2019,A,A03,03500404,single_code,True,Niños/as con control a los 18 meses,2019–2024,2019,2024,screening,APS,children reported,annual_sum,01-12,sum of months; COL01+COL02 (cells present),37952.0,37952.0,701,701,3559,3559,0,0,0,12,478,34154.0,Context denominator; retained after redesign but not equivalent to all screened children,,REM/SerieA/SerieA_2019.csv,study/pipeline/02_rem_pathway.py
2020,A,A03,03500404,single_code,True,Niños/as con control a los 18 meses,2019–2024,2019,2024,screening,APS,children reported,annual_sum,01-12,sum of months; COL01+COL02 (cells present),20594.0,20594.0,663,663,2929,2929,0,0,0,12,478,18598.0,Context denominator; retained after redesign but not equivalent to all screened children,,REM/SerieA/SerieA_2020.csv,study/pipeline/02_rem_pathway.py
2021,A,A03,03500404,single_code,True,Niños/as con control a los 18 meses,2019–2024,2019,2024,screening,APS,children reported,annual_sum,01-12,sum of months; COL01+COL02 (cells present),34371.0,34371.0,745,745,4669,4669,0,0,0,12,478,29391.0,Context denominator; retained after redesign but not equivalent to all screened children,,REM/SerieA/SerieA_2021.csv,study/pipeline/02_rem_pathway.py
2022,A,A03,03500404,single_code,True,Niños/as con control a los 18 meses,2019–2024,2019,2024,screening,APS,children reported,annual_sum,01-12,sum of months; COL01+COL02 (cells present),50513.0,50513.0,908,908,6185,6185,0,0,0,12,478,38152.0,Context denominator; retained after redesign but not equivalent to all screened children,,REM/SerieA/SerieA_2022.csv,study/pipeline/02_rem_pathway.py
2023,A,A03,03500404,single_code,True,Niños/as con control a los 18 meses,2019–2024,2019,2024,screening,APS,children reported,annual_sum,01-12,sum of months; COL01+COL02 (cells present),74940.0,74940.0,1136,1135,7834,7833,0,1,0,12,478,50118.0,Context denominator; retained after redesign but not equivalent to all screened children,,REM/SerieA/SerieA_2023.csv,study/pipeline/02_rem_pathway.py
2024,A,A03,03500404,single_code,True,Niños/as con control a los 18 meses,2019–2024,2019,2024,screening,APS,children reported,annual_sum,01-12,sum of months; COL01+COL02 (cells present),85187.0,85186.0,1283,1283,8756,8756,0,0,1,12,478,51527.0,Context denominator; retained after redesign but not equivalent to all screened children,,REM/SerieA/SerieA_2024.csv,study/pipeline/02_rem_pathway.py
2019,A,A03,03500405,single_code,True,Alteración de lenguaje y/o área social en control de 18 meses,2019–2024,2019,2024,screening,APS,children reported,annual_sum,01-12,sum of months; COL01+COL02 (cells present),5160.0,5160.0,470,470,1664,1664,0,0,0,12,246,3915.0,Selection criterion; not an autism-positive screen,,REM/SerieA/SerieA_2019.csv,study/pipeline/02_rem_pathway.py
2020,A,A03,03500405,single_code,True,Alteración de lenguaje y/o área social en control de 18 meses,2019–2024,2019,2024,screening,APS,children reported,annual_sum,01-12,sum of months; COL01+COL02 (cells present),2358.0,2358.0,404,404,1076,1076,0,0,0,12,246,1842.0,Selection criterion; not an autism-positive screen,,REM/SerieA/SerieA_2020.csv,study/pipeline/02_rem_pathway.py
2021,A,A03,03500405,single_code,True,Alteración de lenguaje y/o área social en control de 18 meses,2019–2024,2019,2024,screening,APS,children reported,annual_sum,01-12,sum of months; COL01+COL02 (cells present),5118.0,5118.0,518,518,2226,2226,0,0,0,12,246,3747.0,Selection criterion; not an autism-positive screen,,REM/SerieA/SerieA_2021.csv,study/pipeline/02_rem_pathway.py
2022,A,A03,03500405,single_code,True,Alteración de lenguaje y/o área social en control de 18 meses,2019–2024,2019,2024,screening,APS,children reported,annual_sum,01-12,sum of months; COL01+COL02 (cells present),7870.0,7870.0,651,651,3172,3172,0,0,0,12,246,4992.0,Selection criterion; not an autism-positive screen,,REM/SerieA/SerieA_2022.csv,study/pipeline/02_rem_pathway.py
