ICD-10 category (three characters),2019,2020,2021,2022,2023,2024,2019–2024
Z92 · Personal history of medical treatment,293 (12.6%),236 (14.7%),354 (15.0%),582 (15.1%),"1,064 (16.6%)","1,677 (19.2%)","4,206 (16.6%)"
G40 · Epilepsy,445 (19.1%),336 (20.9%),396 (16.7%),542 (14.0%),789 (12.3%),979 (11.2%),"3,487 (13.8%)"
E66 · Obesity,175 (7.5%),176 (10.9%),322 (13.6%),472 (12.2%),688 (10.7%),"1,070 (12.3%)","2,903 (11.5%)"
J45 · Asthma,200 (8.6%),123 (7.6%),188 (7.9%),337 (8.7%),749 (11.7%),"1,151 (13.2%)","2,748 (10.9%)"
F32 · Depressive episode,60 (2.6%),56 (3.5%),118 (5.0%),232 (6.0%),601 (9.4%),897 (10.3%),"1,964 (7.8%)"
"J96 · Respiratory failure, not elsewhere classified",106 (4.5%),36 (2.2%),102 (4.3%),257 (6.7%),635 (9.9%),782 (9.0%),"1,918 (7.6%)"
"Z91 · Personal history of risk-factors, not elsewhere classified",77 (3.3%),71 (4.4%),85 (3.6%),213 (5.5%),566 (8.8%),875 (10.0%),"1,887 (7.5%)"
"Z63 · Other problems related to primary support group, including family circumstances",96 (4.1%),101 (6.3%),126 (5.3%),215 (5.6%),359 (5.6%),653 (7.5%),"1,550 (6.1%)"
Z87 · Personal history of other diseases and conditions,162 (6.9%),92 (5.7%),107 (4.5%),198 (5.1%),377 (5.9%),582 (6.7%),"1,518 (6.0%)"
K59 · Other functional intestinal disorders,112 (4.8%),91 (5.7%),159 (6.7%),221 (5.7%),406 (6.3%),480 (5.5%),"1,469 (5.8%)"
R45 · Symptoms and signs involving emotional state,83 (3.6%),69 (4.3%),95 (4.0%),197 (5.1%),363 (5.7%),602 (6.9%),"1,409 (5.6%)"
"Z88 · Personal history of allergy to drugs, medicaments and biological substances",95 (4.1%),92 (5.7%),105 (4.4%),207 (5.4%),326 (5.1%),516 (5.9%),"1,341 (5.3%)"
"E87 · Other disorders of fluid, electrolyte and acid-base balance",72 (3.1%),81 (5.0%),121 (5.1%),184 (4.8%),387 (6.0%),398 (4.6%),"1,243 (4.9%)"
F90 · Hyperkinetic disorders,57 (2.4%),40 (2.5%),61 (2.6%),120 (3.1%),279 (4.3%),642 (7.4%),"1,199 (4.7%)"
F60 · Specific personality disorders,32 (1.4%),29 (1.8%),59 (2.5%),120 (3.1%),290 (4.5%),587 (6.7%),"1,117 (4.4%)"
"N47 · Redundant prepuce, phimosis and paraphimosis",86 (3.7%),39 (2.4%),72 (3.0%),156 (4.0%),305 (4.7%),458 (5.2%),"1,116 (4.4%)"
R62 · Lack of expected normal physiological development,75 (3.2%),85 (5.3%),148 (6.3%),174 (4.5%),255 (4.0%),295 (3.4%),"1,032 (4.1%)"
"J12 · Viral pneumonia, not elsewhere classified",67 (2.9%),20 (1.2%),63 (2.7%),142 (3.7%),344 (5.4%),379 (4.3%),"1,015 (4.0%)"
E03 · Other hypothyroidism,129 (5.5%),78 (4.8%),93 (3.9%),135 (3.5%),202 (3.1%),351 (4.0%),988 (3.9%)
K35 · Acute appendicitis,75 (3.2%),85 (5.3%),104 (4.4%),151 (3.9%),234 (3.6%),327 (3.7%),976 (3.9%)
F41 · Other anxiety disorders,12 (0.5%),16 (1.0%),35 (1.5%),122 (3.2%),296 (4.6%),488 (5.6%),969 (3.8%)
J35 · Chronic diseases of tonsils and adenoids,70 (3.0%),45 (2.8%),62 (2.6%),119 (3.1%),224 (3.5%),376 (4.3%),896 (3.5%)
F91 · Conduct disorders,63 (2.7%),85 (5.3%),91 (3.8%),107 (2.8%),200 (3.1%),276 (3.2%),822 (3.2%)
"F43 · Reaction to severe stress, and adjustment disorders",38 (1.6%),25 (1.6%),39 (1.6%),93 (2.4%),194 (3.0%),408 (4.7%),797 (3.1%)
J20 · Acute bronchitis,86 (3.7%),17 (1.1%),45 (1.9%),120 (3.1%),240 (3.7%),263 (3.0%),771 (3.0%)
Distinct ICD-10 categories per episode,3.83,4.55,4.42,4.24,4.53,4.81,4.51
Coded diagnoses per episode · Episodes with documented F84,4.97,5.73,5.57,5.39,5.71,6.00,n/e
